label,price,pub_month,click,score,judge,rec_most,rec_more,rec_normal,rec_bad,rec_morebad,readed,reading,readup
1,28.9,8,81,7.3,134.0,20,31,71,1,2,55,100,86
0,36.6,6,22,7.7,133.0,13,32,49,7,8,99,87,23
1,31.5,15,6,7.8,16.0,12,21,23,1,7,100,25,41
1,23.1,10,42,7.5,151.0,14,39,27,5,4,29,48,67
1,38.8,13,78,7.8,36.0,10,20,91,15,6,29,27,73
1,30.3,7,10,7.3,222.0,12,23,99,17,4,36,93,78
1,42.9,13,52,9.0,21.0,13,39,86,14,1,66,95,77
0,21.2,15,64,8.4,88.0,15,26,39,19,4,65,17,55
0,30.9,13,37,6.1,33.0,14,38,52,14,7,24,17,82
0,22.2,6,16,9.0,180.0,14,32,100,16,9,42,17,86
0,25.7,2,50,8.0,49.0,11,34,23,15,5,97,14,73
1,43.9,6,21,8.4,424.0,17,21,72,2,8,80,68,11
0,38.6,3,58,8.2,124.0,17,33,22,4,4,99,86,50
1,47.2,15,75,8.5,314.0,13,24,51,4,6,98,63,25
